english,phonetic,vietnamese
job,/dʒɒb/,'công việc'
joke,/dʒəʊk/,'trò đùa'
journalist,/ˈdʒɜːnəlɪst/,'nhà báo'
journey,/ˈdʒɜːni/,'hành trình'
joy,/dʒɔɪ/,'niềm vui'
judgement,/ˈdʒʌdʒmənt/,'sự phán xét'
juice,/dʒuːs/,'nước ép'
july,/dʒuˈlaɪ/,'tháng Bảy'
jump,/dʒʌmp/,'nhảy'
june,/dʒuːn/,'tháng Sáu'
justice,/ˈdʒʌstɪs/,'công lý'
justify,/ˈdʒʌstɪfaɪ/,'biện minh'
keep,/kiːp/,'giữ'
keyboard,/ˈkiːbɔːd/,'bàn phím'
kick,/kɪk/,'đá'
kill,/kɪl/,'giết'
kilogram,/ˈkɪləɡræm/,'kilogram'
kilometre,/ˈkɪləmiːtər/,'kilomet'
king,/kɪŋ/,'vua'
kiss,/kɪs/,'hôn'
kitchen,/ˈkɪtʃɪn/,'nhà bếp'
knee,/niː/,'đầu gối'
knife,/naɪf/,'con dao'
knock,/nɒk/,'gõ cửa'
know,/nəʊ/,'biết'
knowledge,/ˈnɒlɪdʒ/,'kiến thức'
lab,/læb/,'phòng thí nghiệm'
label,/ˈleɪbl/,'nhãn'
laboratory,/ləˈbɒrətəri/,'phòng thí nghiệm'
labour,/ˈleɪbər/,'lao động'
lack,/læk/,'thiếu'
lady,/ˈleɪdi/,'quý bà'
lake,/leɪk/,'hồ'
lamp,/læmp/,'đèn'
landscape,/ˈlændskeɪp/,'phong cảnh'
lane,/leɪn/,'làn đường'
language,/ˈlæŋɡwɪdʒ/,'ngôn ngữ'
largely,/ˈlɑːdʒli/,'phần lớn'
late,/leɪt/,'muộn'
later,/ˈleɪtər/,'sau đó'
latest,/ˈleɪtɪst/,'mới nhất'
laugh,/lɑːf/,'cười'
law,/lɔː/,'luật'
lawyer,/ˈlɔːjər/,'luật sư'
layer,/ˈleɪər/,'lớp'
lazy,/ˈleɪzi/,'lười biếng'
leader,/ˈliːdər/,'nhà lãnh đạo'
leading,/ˈliːdɪŋ/,'hàng đầu'
leaf,/liːf/,'lá cây'
league,/liːɡ/,'liên đoàn'
learn,/lɜːn/,'học'
least,/liːst/,'ít nhất'
leather,/ˈleðər/,'da (thuộc)'
lecture,/ˈlektʃər/,'bài giảng'
leg,/leɡ/,'chân'
legal,/ˈliːɡl/,'hợp pháp'
leisure,/ˈleʒər/,'thời gian rảnh rỗi'
lemon,/ˈlemən/,'chanh vàng'
lend,/lend/,'cho vay'
length,/leŋθ/,'chiều dài'
less,/les/,'ít hơn'
lesson,/ˈlesn/,'bài học'
library,/ˈlaɪbrəri/,'thư viện'
licence,/ˈlaɪsns/,'giấy phép'
lid,/lɪd/,'nắp'
life,/laɪf/,'cuộc sống'
likely,/ˈlaɪkli/,'có khả năng'
limit,/ˈlɪmɪt/,'giới hạn'
limited,/ˈlɪmɪtɪd/,'hạn chế'
link,/lɪŋk/,'liên kết'
lip,/lɪp/,'môi'
liquid,/ˈlɪkwɪd/,'chất lỏng'
list,/lɪst/,'danh sách'
listen,/ˈlɪsn/,'nghe'
literature,/ˈlɪtrətʃər/,'văn học'
live,/lɪv/,'sống'
lively,/ˈlaɪvli/,'sống động'
loan,/ləʊn/,'khoản vay'
local,/ˈləʊkl/,'địa phương'
locate,/ləʊˈkeɪt/,'xác định vị trí'
lock,/lɒk/,'khóa'
logic,/ˈlɒdʒɪk/,'lôgic'
logical,/ˈlɒdʒɪkl/,'hợp lý'
lonely,/ˈləʊnli/,'cô đơn'
long,/lɒŋ/,'dài'
loose,/luːs/,'lỏng'
lord,/lɔːd/,'chúa tể'
lorry,/ˈlɒri/,'xe tải'
loss,/lɒs/,'sự mất mát'
lost,/lɒst/,'bị lạc'
lot,/lɒt/,'nhiều'
love,/lʌv/,'yêu'
lovely,/ˈlʌvli/,'đáng yêu'
lover,/ˈlʌvər/,'người yêu'
low,/ləʊ/,'thấp'
loyal,/ˈlɔɪəl/,'trung thành'
luck,/lʌk/,'may mắn'
lucky,/ˈlʌki/,'may mắn'
luggage,/ˈlʌɡɪdʒ/,'hành lý'
lunch,/lʌntʃ/,'bữa trưa'
lung,/lʌŋ/,'phổi'
machine,/məˈʃiːn/,'máy móc'
machinery,/məˈʃiːnəri/,'máy móc'
mad,/mæd/,'điên'
magazine,/ˌmæɡəˈziːn/,'tạp chí'
magic,/ˈmædʒɪk/,'phép thuật'
mail,/meɪl/,'thư'
main,/meɪn/,'chính'
mainly,/ˈmeɪnli/,'chủ yếu'
maintain,/meɪnˈteɪn/,'duy trì'
majority,/məˈdʒɒrəti/,'đa số'
male,/meɪl/,'nam giới'
mall,/mɔːl/,'trung tâm mua sắm'
man,/mæn/,'đàn ông'
manage,/ˈmænɪdʒ/,'quản lý'
management,/ˈmænɪdʒmənt/,'sự quản lý'
many,/ˈmeni/,'nhiều'
map,/mæp/,'bản đồ'
marketing,/ˈmɑːkɪtɪŋ/,'tiếp thị'
marriage,/ˈmærɪdʒ/,'hôn nhân'
married,/ˈmærid/,'đã kết hôn'
marry,/ˈmæri/,'kết hôn'
material,/məˈtɪəriəl/,'vật liệu'
mathematics,/ˌmæθəˈmætɪks/,'toán học'
maximum,/ˈmæksɪməm/,'tối đa'
maybe,/ˈmeɪbi/,'có lẽ'
me,/miː/,'tôi'
meal,/miːl/,'bữa ăn'
meaning,/ˈmiːnɪŋ/,'ý nghĩa'
means,/miːnz/,'phương tiện'
meanwhile,/ˈmiːnwaɪl/,'trong khi đó'
measurement,/ˈmeʒəmənt/,'sự đo lường'
meat,/miːt/,'thịt'
media,/ˈmiːdiə/,'truyền thông'
medical,/ˈmedɪkl/,'y tế'
meet,/miːt/,'gặp'
melt,/melt/,'tan chảy'
member,/ˈmembər/,'thành viên'
membership,/ˈmembəʃɪp/,'tư cách thành viên'
mental,/ˈmentl/,'tinh thần'
menu,/ˈmenjuː/,'thực đơn'
mere,/mɪər/,'chỉ là'
mess,/mes/,'sự bừa bộn'
message,/ˈmesɪdʒ/,'tin nhắn'
metal,/ˈmetl/,'kim loại'
method,/ˈmeθəd/,'phương pháp'
metre,/ˈmiːtər/,'mét'
middle,/ˈmɪdl/,'ở giữa'
midnight,/ˈmɪdnaɪt/,'nửa đêm'
mile,/maɪl/,'dặm'
military,/ˈmɪlətri/,'quân đội'
milk,/mɪlk/,'sữa'
milligram,/ˈmɪlɪɡræm/,'miligram'
millimetre,/ˈmɪlimiːtər/,'milimet'
million,/ˈmɪljən/,'một triệu'
minister,/ˈmɪnɪstər/,'bộ trưởng'
minority,/maɪˈnɒrəti/,'thiểu số'
mirror,/ˈmɪrər/,'gương'
mission,/ˈmɪʃn/,'nhiệm vụ'
mistake,/mɪˈsteɪk/,'lỗi'
mix,/mɪks/,'trộn'
mixed,/mɪkst/,'hỗn hợp'
mixture,/ˈmɪkstʃər/,'hỗn hợp'
mobile,/ˈməʊbaɪl/,'di động'
modern,/ˈmɒdən/,'hiện đại'
mom,/mɒm/,'mẹ'
moment,/ˈməʊmənt/,'khoảnh khắc'
monday,/ˈmʌndeɪ/,'thứ Hai'
money,/ˈmʌni/,'tiền'
month,/mʌnθ/,'tháng'
mood,/muːd/,'tâm trạng'
moon,/muːn/,'mặt trăng'
moral,/ˈmɒrəl/,'đạo đức'
more,/mɔːr/,'hơn'
morning,/ˈmɔːnɪŋ/,'buổi sáng'
most,/məʊst/,'nhất'
mostly,/ˈməʊstli/,'hầu hết'
mother,/ˈmʌðər/,'mẹ'
motion,/ˈməʊʃn/,'sự chuyển động'
motor,/ˈməʊtər/,'động cơ'
motorcycle,/ˈməʊtəsaɪkl/,'xe máy'
mountain,/ˈmaʊntən/,'núi'
mouse,/maʊs/,'chuột'
mouth,/maʊθ/,'miệng'
move,/muːv/,'di chuyển'
movie,/ˈmuːvi/,'phim'
much,/mʌtʃ/,'nhiều'
mud,/mʌd/,'bùn'
multiply,/ˈmʌltɪplaɪ/,'nhân'
mum,/mʌm/,'mẹ'
muscle,/ˈmʌsl/,'cơ bắp'
museum,/mjuˈziːəm/,'bảo tàng'
music,/ˈmjuːzɪk/,'âm nhạc'
musical,/ˈmjuːzɪkl/,'thuộc âm nhạc'
musician,/mjuˈzɪʃn/,'nhạc sĩ'
must,/mʌst/,'phải'
my,/maɪ/,'của tôi'
myself,/maɪˈself/,'chính tôi'
mysterious,/mɪˈstɪəriəs/,'bí ẩn'
mystery,/ˈmɪstri/,'điều bí ẩn'
naked,/ˈneɪkɪd/,'khỏa thân'
name,/neɪm/,'tên'
narrow,/ˈnærəʊ/,'hẹp'
nation,/ˈneɪʃn/,'quốc gia'
national,/ˈnæʃnəl/,'thuộc quốc gia'
native,/ˈneɪtɪv/,'bản xứ'
natural,/ˈnætʃrəl/,'tự nhiên'
naturally,/ˈnætʃrəli/,'một cách tự nhiên'
navy,/ˈneɪvi/,'hải quân'
near,/nɪər/,'gần'
nearby,/ˌnɪəˈbaɪ/,'gần đó'
nearly,/ˈnɪəli/,'gần như'
neat,/niːt/,'gọn gàng'
necessarily,/ˌnesəˈserəli/,'một cách cần thiết'
necessary,/ˈnesəsəri/,'cần thiết'
neck,/nek/,'cổ'
need,/niːd/,'cần'
needle,/ˈniːdl/,'kim'
negative,/ˈneɡətɪv/,'tiêu cực'
neighbour,/ˈneɪbər/,'hàng xóm'
neighbourhood,/ˈneɪbəhʊd/,'khu phố'
neither,/ˈnaɪðər/,'cũng không'
nephew,/ˈnefjuː/,'cháu trai'
nerve,/nɜːv/,'dây thần kinh'
nervous,/ˈnɜːvəs/,'lo lắng'
nest,/nest/,'tổ'
net,/net/,'lưới'
network,/ˈnetwɜːk/,'mạng lưới'
never,/ˈnevər/,'không bao giờ'
nevertheless,/ˌnevəðəˈles/,'tuy nhiên'
new,/njuː/,'mới'
news,/njuːz/,'tin tức'
newspaper,/ˈnjuːzpeɪpər/,'báo'
next,/nekst/,'tiếp theo'
niece,/niːs/,'cháu gái'
night,/naɪt/,'đêm'
no,/nəʊ/,'không'
nobody,/ˈnəʊbədi/,'không ai cả'
noise,/nɔɪz/,'tiếng ồn'
noisy,/ˈnɔɪzi/,'ồn ào'
non-,/nɒn/,'không'
none,/nʌn/,'không có'
nonsense,/ˈnɒnsns/,'vô nghĩa'
nor,/nɔːr/,'cũng không'
normal,/ˈnɔːml/,'bình thường'
normally,/ˈnɔːməli/,'thông thường'
north,/nɔːθ/,'phía bắc'
northern,/ˈnɔːðən/,'thuộc phía bắc'
nose,/nəʊz/,'mũi'
not,/nɒt/,'không'
note,/nəʊt/,'ghi chú'
nothing,/ˈnʌθɪŋ/,'không có gì'
noun,/naʊn/,'danh từ'
novel,/ˈnɒvl/,'tiểu thuyết'
november,/nəʊˈvembər/,'tháng Mười Một'
now,/naʊ/,'bây giờ'
nowhere,/ˈnəʊweər/,'không nơi nào'
nuclear,/ˈnjuːkliər/,'hạt nhân'
number,/ˈnʌmbər/,'số'
nurse,/nɜːs/,'y tá'
nut,/nʌt/,'hạt'
obey,/əˈbeɪ/,'vâng lời'
observe,/əbˈzɜːv/,'quan sát'
obtain,/əbˈteɪn/,'đạt được'
obvious,/ˈɒbviəs/,'rõ ràng'
occasion,/əˈkeɪʒn/,'dịp'
occasionally,/əˈkeɪʒnəli/,'thỉnh thoảng'
occupy,/ˈɒkjupaɪ/,'chiếm giữ'
occur,/əˈkɜːr/,'xảy ra'
ocean,/ˈəʊʃn/,'đại dương'
o clock,/əˈklɒk/,'giờ (đúng)'
october,/ɒkˈtəʊbər/,'tháng Mười'
of,/ɒv/,'của'
offend,/əˈfend/,'xúc phạm'
offence,/əˈfens/,'sự vi phạm'
offensive,/əˈfensɪv/,'gây khó chịu'
offer,/ˈɒfər/,'đề nghị'
office,/ˈɒfɪs/,'văn phòng'
official,/əˈfɪʃl/,'chính thức'
often,/ˈɒfn/,'thường'
oh,/əʊ/,'ồ'
oil,/ɔɪl/,'dầu'
on,/ɒn/,'trên'
once,/wʌns/,'một lần'
one,/wʌn/,'một'
onion,/ˈʌnjən/,'hành tây'
online,/ˌɒnˈlaɪn/,'trực tuyến'
only,/ˈəʊnli/,'chỉ'
onto,/ˈɒntuː/,'lên trên'
open,/ˈəʊpən/,'mở'
opinion,/əˈpɪnjən/,'ý kiến'
opponent,/əˈpəʊnənt/,'đối thủ'
oppose,/əˈpəʊz/,'phản đối'
opposition,/ˌɒpəˈzɪʃn/,'sự phản đối'
option,/ˈɒpʃn/,'sự lựa chọn'
or,/ɔːr/,'hoặc'
ordinary,/ˈɔːdnri/,'bình thường'
organize,/ˈɔːɡənaɪz/,'tổ chức'
origin,/ˈɒrɪdʒɪn/,'nguồn gốc'
other,/ˈʌðər/,'khác'
otherwise,/ˈʌðəwaɪz/,'nếu không thì'
ought to,/ˈɔːt tuː/,'nên'
our,/ˈaʊər/,'của chúng tôi'
ours,/ˈaʊəz/,'của chúng tôi'
ourselves,/ˌaʊəˈselvz/,'chính chúng tôi'
out,/aʊt/,'ra ngoài'
outdoor,/ˈaʊtdɔːr/,'ngoài trời'
outdoors,/ˌaʊtˈdɔːz/,'ở ngoài trời'
outer,/ˈaʊtər/,'bên ngoài'
outside,/ˌaʊtˈsaɪd/,'bên ngoài'
oven,/ˈʌvn/,'lò nướng'
overcome,/ˌəʊvəˈkʌm/,'vượt qua'
owe,/əʊ/,'nợ'
owner,/ˈəʊnər/,'chủ sở hữu'
page,/peɪdʒ/,'trang'
pain,/peɪn/,'nỗi đau'
painful,/ˈpeɪnfl/,'đau đớn'
paint,/peɪnt/,'sơn'
painter,/ˈpeɪntər/,'họa sĩ'
painting,/ˈpeɪntɪŋ/,'bức tranh'
palace,/ˈpæləs/,'cung điện'
pale,/peɪl/,'nhợt nhạt'
pan,/pæn/,'cái chảo'
pants,/pænts/,'quần dài'
paragraph,/ˈpærəɡrɑːf/,'đoạn văn'
parent,/ˈpeərənt/,'cha mẹ'
parliament,/ˈpɑːləmənt/,'nghị viện'
part,/pɑːt/,'phần'
particularly,/pəˈtɪkjələli/,'một cách đặc biệt'
partly,/ˈpɑːtli/,'một phần'
partner,/ˈpɑːtnər/,'đối tác'
passenger,/ˈpæsɪndʒər/,'hành khách'
passport,/ˈpɑːspɔːt/,'hộ chiếu'
past,/pɑːst/,'quá khứ'
path,/pɑːθ/,'con đường'
patience,/ˈpeɪʃns/,'sự kiên nhẫn'
pause,/pɔːz/,'tạm dừng'
pay,/peɪ/,'trả tiền'
peace,/piːs/,'hòa bình'
peaceful,/ˈpiːsfl/,'yên bình'
pen,/pen/,'bút mực'
penalty,/ˈpenəlti/,'hình phạt'
pencil,/ˈpensl/,'bút chì'
penny,/ˈpeni/,'đồng xu'
people,/ˈpiːpl/,'người'
per,/pɜːr/,'mỗi'
per cent,/pə ˈsent/,'phần trăm'
perfect,/ˈpɜːfɪkt/,'hoàn hảo'
perhaps,/pəˈhæps/,'có lẽ'
permanent,/ˈpɜːmənənt/,'lâu dài'
permission,/pəˈmɪʃn/,'sự cho phép'
person,/ˈpɜːsn/,'người'
personal,/ˈpɜːsənl/,'cá nhân'
personality,/ˌpɜːsəˈnæləti/,'tính cách'
personally,/ˈpɜːsənəli/,'cá nhân'
persuade,/pəˈsweɪd/,'thuyết phục'
pet,/pet/,'thú cưng'
petrol,/ˈpetrəl/,'xăng'
phase,/feɪz/,'giai đoạn'
philosophy,/fəˈlɒsəfi/,'triết học'
phone,/fəʊn/,'điện thoại'
photo,/ˈfəʊtəʊ/,'ảnh'
photograph,/ˈfəʊtəɡrɑːf/,'ảnh'
phrase,/freɪz/,'cụm từ'
physics,/ˈfɪzɪks/,'vật lý học'
piano,/piˈænəʊ/,'đàn piano'
picture,/ˈpɪktʃər/,'bức tranh'
pig,/pɪɡ/,'con lợn'
pile,/paɪl/,'đống'
pill,/pɪl/,'viên thuốc'
pilot,/ˈpaɪlət/,'phi công'
pin,/pɪn/,'ghim'
pink,/pɪŋk/,'màu hồng'
pint,/paɪnt/,'panh (đơn vị đo)'
pipe,/paɪp/,'ống'
pity,/ˈpɪti/,'lòng thương hại'
plan,/plæn/,'kế hoạch'
plane,/pleɪn/,'máy bay'
planet,/ˈplænɪt/,'hành tinh'
planning,/ˈplænɪŋ/,'sự lập kế hoạch'
plastic,/ˈplæstɪk/,'nhựa'
plate,/pleɪt/,'đĩa'
player,/ˈpleɪər/,'người chơi'
pleasant,/ˈpleznt/,'dễ chịu'
pleased,/pliːzd/,'hài lòng'
pleasure,/ˈpleʒər/,'niềm vui'
plenty,/ˈplenti/,'nhiều'
plug,/plʌɡ/,'phích cắm'
pocket,/ˈpɒkɪt/,'túi quần/áo'
poem,/ˈpəʊɪm/,'bài thơ'
poetry,/ˈpəʊətri/,'thơ ca'
poison,/ˈpɔɪzn/,'chất độc'
poisonous,/ˈpɔɪzənəs/,'độc'
police,/pəˈliːs/,'cảnh sát'
polite,/pəˈlaɪt/,'lịch sự'
political,/pəˈlɪtɪkl/,'chính trị'
politician,/ˌpɒləˈtɪʃn/,'chính trị gia'
politics,/ˈpɒlətɪks/,'chính trị'
pollution,/pəˈluːʃn/,'sự ô nhiễm'
pool,/puːl/,'bể bơi'
popular,/ˈpɒpjələr/,'phổ biến'
population,/ˌpɒpjuˈleɪʃn/,'dân số'
port,/pɔːt/,'cảng'
position,/pəˈzɪʃn/,'vị trí'
positive,/ˈpɒzətɪv/,'tích cực'
possess,/pəˈzes/,'sở hữu'
possession,/pəˈzeʃn/,'sự sở hữu'
possibility,/ˌpɒsəˈbɪləti/,'khả năng'
possible,/ˈpɒsəbl/,'có thể'
possibly,/ˈpɒsəbli/,'có lẽ'
pot,/pɒt/,'cái nồi'
potato,/pəˈteɪtəʊ/,'khoai tây'
potential,/pəˈtenʃl/,'tiềm năng'
pour,/pɔːr/,'rót'
poverty,/ˈpɒvəti/,'sự nghèo đói'
powder,/ˈpaʊdər/,'bột'
powerful,/ˈpaʊəfl/,'mạnh mẽ'
practical,/ˈpræktɪkl/,'thực tế'
practice,/ˈpræktɪs/,'thực hành'
practise,/ˈpræktɪs/,'thực hành'
praise,/preɪz/,'khen ngợi'
pray,/preɪ/,'cầu nguyện'
prayer,/preər/,'lời cầu nguyện'
predict,/prɪˈdɪkt/,'dự đoán'
prefer,/prɪˈfɜːr/,'thích hơn'
preference,/ˈprefrəns/,'sự ưu tiên'
pregnant,/ˈpreɡnənt/,'mang thai'
premier,/ˈpremjər/,'thủ tướng'
preparation,/ˌprepəˈreɪʃn/,'sự chuẩn bị'
prepare,/prɪˈpeər/,'chuẩn bị'
presence,/ˈprezns/,'sự hiện diện'
presentation,/ˌpreznˈteɪʃn/,'bài thuyết trình'
preserve,/prɪˈzɜːv/,'bảo tồn'
pressure,/ˈpreʃər/,'áp lực'
presumably,/prɪˈzjuːməbli/,'có lẽ'
pretend,/prɪˈtend/,'giả vờ'
prevent,/prɪˈvent/,'ngăn chặn'
previous,/ˈpriːviəs/,'trước đó'
price,/praɪs/,'giá cả'
pride,/praɪd/,'niềm tự hào'
priest,/priːst/,'linh mục'
primarily,/ˈpraɪmərəli/,'chủ yếu'
prince,/prɪns/,'hoàng tử'
princess,/prɪnˈses/,'công chúa'
principle,/ˈprɪnsəpl/,'nguyên tắc'
print,/prɪnt/,'in'
printer,/ˈprɪntər/,'máy in'
prior,/ˈpraɪər/,'trước'
priority,/praɪˈɒrəti/,'sự ưu tiên'
prison,/ˈprɪzn/,'nhà tù'
prisoner,/ˈprɪznər/,'tù nhân'
private,/ˈpraɪvət/,'riêng tư'
prize,/praɪz/,'giải thưởng'
probably,/ˈprɒbəbli/,'có lẽ'
problem,/ˈprɒbləm/,'vấn đề'
proceed,/prəˈsiːd/,'tiến hành'
process,/ˈprəʊses/,'quá trình'
produce,/prəˈdjuːs/,'sản xuất'
producer,/prəˈdjuːsər/,'nhà sản xuất'
production,/prəˈdʌkʃn/,'sự sản xuất'
profession,/prəˈfeʃn/,'nghề nghiệp'
professor,/prəˈfesər/,'giáo sư'
profile,/ˈprəʊfaɪl/,'hồ sơ'
program,/ˈprəʊɡræm/,'chương trình'
programme,/ˈprəʊɡræm/,'chương trình'
progress,/ˈprəʊɡres/,'sự tiến bộ'
project,/ˈprɒdʒekt/,'dự án'
pronounce,/prəˈnaʊns/,'phát âm'
pronunciation,/prəˌnʌnsiˈeɪʃn/,'cách phát âm'
proof,/pruːf/,'bằng chứng'
property,/ˈprɒpəti/,'tài sản'
proportion,/prəˈpɔːʃn/,'tỷ lệ'
prospect,/ˈprɒspekt/,'triển vọng'
protect,/prəˈtekt/,'bảo vệ'
protection,/prəˈtekʃn/,'sự bảo vệ'
protest,/ˈprəʊtest/,'phản đối'
proud,/praʊd/,'tự hào'
prove,/pruːv/,'chứng minh'
provide,/prəˈvaɪd/,'cung cấp'
psychological,/ˌsaɪkəˈlɒdʒɪkl/,'thuộc tâm lý'
psychology,/saɪˈkɒlədʒi/,'tâm lý học'
pub,/pʌb/,'quán rượu'
public,/ˈpʌblɪk/,'công cộng'
publication,/ˌpʌblɪˈkeɪʃn/,'sự xuất bản'
publish,/ˈpʌblɪʃ/,'xuất bản'
pull,/pʊl/,'kéo'
punch,/pʌntʃ/,'đấm'
punish,/ˈpʌnɪʃ/,'trừng phạt'
punishment,/ˈpʌnɪʃmənt/,'sự trừng phạt'
pure,/pjʊər/,'tinh khiết'
purple,/ˈpɜːpl/,'màu tím'
purpose,/ˈpɜːpəs/,'mục đích'
pursue,/pəˈsjuː/,'theo đuổi'
push,/pʊʃ/,'đẩy'
qualify,/ˈkwɒlɪfaɪ/,'đủ điều kiện'
quantity,/ˈkwɒntəti/,'số lượng'
quarter,/ˈkwɔːtər/,'một phần tư'
queen,/kwiːn/,'nữ hoàng'
question,/ˈkwestʃən/,'câu hỏi'
queue,/kjuː/,'hàng đợi'
quick,/kwɪk/,'nhanh'
quickly,/ˈkwɪkli/,'nhanh chóng'
quiet,/ˈkwaɪət/,'yên tĩnh'
quit,/kwɪt/,'từ bỏ'
quite,/kwaɪt/,'khá'
quote,/kwəʊt/,'trích dẫn'
racing,/ˈreɪsɪŋ/,'đua xe'
radio,/ˈreɪdiəʊ/,'radio'
rail,/reɪl/,'đường ray'
railway,/ˈreɪlweɪ/,'đường sắt'
rain,/reɪn/,'mưa'
rapid,/ˈræpɪd/,'nhanh chóng'
rare,/reər/,'hiếm'
ratio,/ˈreɪʃiəʊ/,'tỷ lệ'
react,/riˈækt/,'phản ứng'
reaction,/riˈækʃn/,'sự phản ứng'
read,/riːd/,'đọc'
reader,/ˈriːdər/,'độc giả'
reading,/ˈriːdɪŋ/,'việc đọc'
ready,/ˈredi/,'sẵn sàng'
real,/rɪəl/,'thực'
realistic,/ˌrɪəˈlɪstɪk/,'thực tế'
reality,/riˈæləti/,'thực tế'
realize,/ˈrɪəlaɪz/,'nhận ra'
really,/ˈrɪəli/,'thực sự'
reason,/ˈriːzn/,'lý do'
reasonable,/ˈriːznəbl/,'hợp lý'
receipt,/rɪˈsiːt/,'biên lai'
recent,/ˈriːsnt/,'gần đây'
recipe,/ˈresəpi/,'công thức nấu ăn'
recognize,/ˈrekəɡnaɪz/,'nhận ra'
recover,/rɪˈkʌvər/,'phục hồi'
recycle,/ˌriːˈsaɪkl/,'tái chế'
red,/red/,'màu đỏ'
reduce,/rɪˈdjuːs/,'giảm'
reduction,/rɪˈdʌkʃn/,'sự giảm bớt'
reference,/ˈrefrəns/,'sự tham khảo'
reform,/rɪˈfɔːm/,'cải cách'
refrigerator,/rɪˈfrɪdʒəreɪtər/,'tủ lạnh'
refuse,/rɪˈfjuːz/,'từ chối'
regarding,/rɪˈɡɑːdɪŋ/,'liên quan đến'
regional,/ˈriːdʒənl/,'thuộc vùng'
regret,/rɪˈɡret/,'hối tiếc'
regulation,/ˌreɡjuˈleɪʃn/,'quy định'
reject,/rɪˈdʒekt/,'từ chối'
relate,/rɪˈleɪt/,'liên quan'
related,/rɪˈleɪtɪd/,'có liên quan'
relation,/rɪˈleɪʃn/,'mối quan hệ'
relationship,/rɪˈleɪʃnʃɪp/,'mối quan hệ'
relax,/rɪˈlæks/,'thư giãn'
relevant,/ˈreləvənt/,'liên quan'
religion,/rɪˈlɪdʒən/,'tôn giáo'
religious,/rɪˈlɪdʒəs/,'thuộc tôn giáo'
remain,/rɪˈmeɪn/,'còn lại'
remaining,/rɪˈmeɪnɪŋ/,'còn lại'
remark,/rɪˈmɑːk/,'nhận xét'
remarkable,/rɪˈmɑːkəbl/,'đáng chú ý'
remember,/rɪˈmembər/,'nhớ'
remind,/rɪˈmaɪnd/,'nhắc nhở'
remote,/rɪˈməʊt/,'xa xôi'
remove,/rɪˈmuːv/,'loại bỏ'
rent,/rent/,'thuê'
repair,/rɪˈpeər/,'sửa chữa'
repeat,/rɪˈpiːt/,'lặp lại'
replace,/rɪˈpleɪs/,'thay thế'
reply,/rɪˈplaɪ/,'trả lời'
report,/rɪˈpɔːt/,'báo cáo'
represent,/ˌreprɪˈzent/,'đại diện'
representative,/ˌreprɪˈzentətɪv/,'người đại diện'
republic,/rɪˈpʌblɪk/,'nền cộng hòa'
reputation,/ˌrepjuˈteɪʃn/,'danh tiếng'
requirement,/rɪˈkwaɪəmənt/,'yêu cầu'
rescue,/ˈreskjuː/,'cứu hộ'
research,/rɪˈsɜːtʃ/,'nghiên cứu'
reservation,/ˌrezəˈveɪʃn/,'sự đặt chỗ'
resident,/ˈrezɪdənt/,'cư dân'
resist,/rɪˈzɪst/,'chống cự'
resistance,/rɪˈzɪstəns/,'sự kháng cự'
resolve,/rɪˈzɒlv/,'giải quyết'
resort,/rɪˈzɔːt/,'khu nghỉ dưỡng'
resource,/rɪˈsɔːs/,'nguồn lực'
respect,/rɪˈspekt/,'tôn trọng'
respond,/rɪˈspɒnd/,'phản hồi'
response,/rɪˈspɒns/,'sự phản hồi'
responsible,/rɪˈspɒnsəbl/,'có trách nhiệm'
restaurant,/ˈrestrɒnt/,'nhà hàng'
restore,/rɪˈstɔːr/,'khôi phục'
restrict,/rɪˈstrɪkt/,'hạn chế'
result,/rɪˈzʌlt/,'kết quả'
retain,/rɪˈteɪn/,'giữ lại'
retire,/rɪˈtaɪər/,'nghỉ hưu'
reveal,/rɪˈviːl/,'tiết lộ'
reverse,/rɪˈvɜːs/,'đảo ngược'
revolution,/ˌrevəˈluːʃn/,'cuộc cách mạng'
reward,/rɪˈwɔːd/,'phần thưởng'
rhythm,/ˈrɪðəm/,'nhịp điệu'
rich,/rɪtʃ/,'giàu'
rid,/rɪd/,'thoát khỏi'
risk,/rɪsk/,'rủi ro'
rival,/ˈraɪvl/,'đối thủ'
river,/ˈrɪvər/,'sông'
road,/rəʊd/,'con đường'
rob,/rɒb/,'cướp'
role,/rəʊl/,'vai trò'
romantic,/rəʊˈmæntɪk/,'lãng mạn'
roof,/ruːf/,'mái nhà'
room,/ruːm/,'phòng'
rope,/rəʊp/,'dây thừng'
route,/ruːt/,'tuyến đường'
routine,/ruːˈtiːn/,'thói quen hàng ngày'
royal,/ˈrɔɪəl/,'hoàng gia'
rub,/rʌb/,'cọ xát'
rubbish,/ˈrʌbɪʃ/,'rác'
rude,/ruːd/,'thô lỗ'
rugby,/ˈrʌɡbi/,'bóng bầu dục'
rumour,/ˈruːmər/,'tin đồn'
run,/rʌn/,'chạy'
runner,/ˈrʌnər/,'người chạy'
rural,/ˈrʊərəl/,'nông thôn'
sad,/sæd/,'buồn'
safe,/seɪf/,'an toàn'
safety,/ˈseɪfti/,'sự an toàn'
sailing,/ˈseɪlɪŋ/,'môn thuyền buồm'
sailor,/ˈseɪlər/,'thủy thủ'
salad,/ˈsæləd/,'sa lát'
salary,/ˈsæləri/,'lương'
salt,/sɔːlt/,'muối'
same,/seɪm/,'giống nhau'
sample,/ˈsɑːmpl/,'mẫu'
